pid,DTYPE
63422,DEVICE_TYPE_23
63423,DEVICE_TYPE_156
63424,DEVICE_TYPE_111
63425,DEVICE_TYPE_99
63426,DEVICE_TYPE_135
63427,DEVICE_TYPE_34
63428,DEVICE_TYPE_111
63429,DEVICE_TYPE_111
63429,DEVICE_TYPE_88
63430,DEVICE_TYPE_111
63430,DEVICE_TYPE_88
63431,DEVICE_TYPE_107
63432,DEVICE_TYPE_99
63433,DEVICE_TYPE_110
63434,DEVICE_TYPE_109
63435,DEVICE_TYPE_111
63436,DEVICE_TYPE_107
63437,DEVICE_TYPE_108
63437,DEVICE_TYPE_88
63438,DEVICE_TYPE_151
63439,DEVICE_TYPE_35
63440,DEVICE_TYPE_111
63441,DEVICE_TYPE_34
63442,DEVICE_TYPE_37
63443,DEVICE_TYPE_27
63444,DEVICE_TYPE_103
63445,DEVICE_TYPE_109
63446,DEVICE_TYPE_108
63447,DEVICE_TYPE_111
63447,DEVICE_TYPE_88
63448,DEVICE_TYPE_34
63449,DEVICE_TYPE_111
63450,DEVICE_TYPE_108
63451,DEVICE_TYPE_107
63452,DEVICE_TYPE_99
63453,DEVICE_TYPE_107
63454,DEVICE_TYPE_109
63455,DEVICE_TYPE_109
63456,DEVICE_TYPE_107
63457,DEVICE_TYPE_111
63458,DEVICE_TYPE_107
63459,DEVICE_TYPE_34
63460,DEVICE_TYPE_34
63461,DEVICE_TYPE_102
63462,DEVICE_TYPE_27
63463,DEVICE_TYPE_135
63464,DEVICE_TYPE_107
63465,DEVICE_TYPE_27
63466,DEVICE_TYPE_109
63467,DEVICE_TYPE_156
63468,DEVICE_TYPE_25
63469,DEVICE_TYPE_111
63470,DEVICE_TYPE_35
63471,DEVICE_TYPE_34
63472,DEVICE_TYPE_111
63473,DEVICE_TYPE_27
63474,DEVICE_TYPE_156
63475,DEVICE_TYPE_156
63476,DEVICE_TYPE_34
63477,DEVICE_TYPE_93
63478,DEVICE_TYPE_111
63479,DEVICE_TYPE_109
63480,DEVICE_TYPE_93
63481,DEVICE_TYPE_93
63482,DEVICE_TYPE_111
63483,DEVICE_TYPE_156
63484,DEVICE_TYPE_35
63485,DEVICE_TYPE_27
63486,DEVICE_TYPE_110
63487,DEVICE_TYPE_111
63488,DEVICE_TYPE_99
63489,DEVICE_TYPE_109
63489,DEVICE_TYPE_135
63490,DEVICE_TYPE_111
63491,DEVICE_TYPE_111
63492,DEVICE_TYPE_109
