pid,SIM
63422,SIM_14
63423,SIM_14
63424,SIM_14
63425,SIM_14
63427,SIM_36
63428,SIM_14
63429,SIM_14
63430,SIM_14
63432,SIM_14
63433,SIM_14
63434,SIM_44
63435,SIM_14
63436,SIM_44
63437,SIM_14
63438,SIM_44
63439,SIM_34
63440,SIM_14
63441,SIM_36
63442,SIM_34
63443,SIM_14
63444,SIM_14
63445,SIM_14
63446,SIM_14
63447,SIM_14
63448,SIM_36
63449,SIM_14
63451,SIM_44
63452,SIM_44
63453,SIM_44
63454,SIM_44
63455,SIM_44
63456,SIM_44
63457,SIM_14
63458,SIM_44
63459,SIM_36
63460,SIM_36
63462,SIM_14
63463,SIM_14
63465,SIM_14
63466,SIM_44
63467,SIM_14
63468,SIM_0
63469,SIM_44
63470,SIM_34
63471,SIM_34
63472,SIM_0
63473,SIM_14
63474,SIM_14
63475,SIM_14
63476,SIM_36
63478,SIM_14
63479,SIM_14
63480,SIM_14
63481,SIM_14
63482,SIM_14
63483,SIM_14
63484,SIM_34
63485,SIM_14
63486,SIM_14
63487,SIM_14
63488,SIM_14
63489,SIM_0
63490,SIM_14
63491,SIM_14
63492,SIM_14
63493,SIM_14
63493,SIM_34
63494,SIM_14
63495,SIM_14
63496,SIM_36
63497,SIM_14
63498,SIM_14
63499,SIM_0
63501,SIM_44
63502,SIM_14
63503,SIM_14
63504,SIM_0
63505,SIM_14
63506,SIM_0
63507,SIM_44
63508,SIM_34
63509,SIM_34
63510,SIM_14
63511,SIM_36
63512,SIM_14
63513,SIM_14
63514,SIM_14
63515,SIM_14
63516,SIM_18
63517,SIM_14
63518,SIM_36
63519,SIM_14
63520,SIM_14
63521,SIM_14
63523,SIM_31
63524,SIM_0
63525,SIM_36
63526,SIM_36
63527,SIM_14
63528,SIM_14
63529,SIM_30
63530,SIM_44
63531,SIM_14
63533,SIM_44
63534,SIM_44
63535,SIM_14
63536,SIM_14
63537,SIM_34
63538,SIM_14
63539,SIM_14
63540,SIM_14
63541,SIM_14
63542,SIM_44
63543,SIM_0
63544,SIM_31
63545,SIM_14
63546,SIM_14
63547,SIM_34
63548,SIM_14
63549,SIM_14
63550,SIM_34
63551,SIM_14
63551,SIM_34
63552,SIM_14
63553,SIM_14
63554,SIM_14
63555,SIM_0
63557,SIM_36
63558,SIM_34
63559,SIM_14
63560,SIM_36
63563,SIM_34
63565,SIM_14
63566,SIM_36
63567,SIM_14
63568,SIM_44
63569,SIM_44
63570,SIM_14
63571,SIM_34
63572,SIM_27
63573,SIM_27
63574,SIM_14
63574,SIM_34
63575,SIM_14
63577,SIM_14
63579,SIM_14
63580,SIM_14
63582,SIM_14
63583,SIM_14
63585,SIM_16
63586,SIM_36
63587,SIM_14
63589,SIM_44
63590,SIM_14
